Request_ID,Request_Time,Status,Passengers,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon,Exp_Pickup_Time,Exp_Dropoff_Time,Act_Pickup_Time,Act_Dropoff_Time
R214938,2025-10-01 20:07:00,COMPLETED,1,40.8065685,-73.9610072,40.8125554,-73.9513905,2025-10-01 20:09:05,2025-10-01 20:11:55,2025-10-01 20:09:00,2025-10-01 20:11:49
R214936,2025-10-01 20:06:00,COMPLETED,1,40.8171984,-73.9587136,40.8060833,-73.9608651,2025-10-01 20:07:58,2025-10-01 20:10:47,2025-10-01 20:07:58,2025-10-01 20:11:23
R214934,2025-10-01 20:06:00,COMPLETED,1,40.81635201,-73.95899568,40.8039158,-73.9686086,2025-10-01 20:06:52,2025-10-01 20:12:05,2025-10-01 20:06:52,2025-10-01 20:12:20
R214950,2025-10-01 20:11:00,COMPLETED,1,40.80796436,-73.95855647,40.80579,-73.9632098,2025-10-01 20:11:55,2025-10-01 20:12:59,2025-10-01 20:11:55,2025-10-01 20:12:55
R214940,2025-10-01 20:07:00,COMPLETED,1,40.79899089,-73.96821208,40.80802095,-73.9600575,2025-10-01 20:08:35,2025-10-01 20:12:46,2025-10-01 20:08:35,2025-10-01 20:12:46
R214945,2025-10-01 20:08:00,COMPLETED,1,40.80794355,-73.96361712,40.7998594,-73.9675111,2025-10-01 20:11:01,2025-10-01 20:12:57,2025-10-01 20:11:01,2025-10-01 20:12:57
R214948,2025-10-01 20:09:00,COMPLETED,1,40.80474823,-73.96449588,40.8006579,-73.9658425,2025-10-01 20:11:19,2025-10-01 20:13:45,2025-10-01 20:11:19,2025-10-01 20:13:45
R214941,2025-10-01 20:07:00,COMPLETED,1,40.80627726,-73.96137144,40.808264,-73.9501095,2025-10-01 20:08:42,2025-10-01 20:12:10,2025-10-01 20:09:41,2025-10-01 20:13:09
R214943,2025-10-01 20:07:00,COMPLETED,1,40.81447025,-73.95923741,40.8004385,-73.9649993,2025-10-01 20:08:40,2025-10-01 20:13:55,2025-10-01 20:08:40,2025-10-01 20:13:55
R214942,2025-10-01 20:07:00,COMPLETED,1,40.80787173,-73.96406438,40.81882491,-73.95474404,2025-10-01 20:08:35,2025-10-01 20:13:06,2025-10-01 20:08:35,2025-10-01 20:13:03
R214947,2025-10-01 20:09:00,COMPLETED,1,40.80809505,-73.96375425,40.8197379,-73.9526406,2025-10-01 20:10:23,2025-10-01 20:13:54,2025-10-01 20:10:23,2025-10-01 20:13:54
R214954,2025-10-01 20:12:00,COMPLETED,1,40.8044008,-73.96188542,40.8078594,-73.9651746,2025-10-01 20:12:17,2025-10-01 20:13:27,2025-10-01 20:12:17,2025-10-01 20:13:27
R214952,2025-10-01 20:12:00,COMPLETED,1,40.80683583,-73.96125712,40.7998129,-73.9628091,2025-10-01 20:12:36,2025-10-01 20:14:19,2025-10-01 20:12:36,2025-10-01 20:14:19
R214946,2025-10-01 20:09:00,COMPLETED,1,40.80400768,-73.95696122,40.8182245,-73.9597336,2025-10-01 20:09:35,2025-10-01 20:14:41,2025-10-01 20:09:35,2025-10-01 20:14:41
R214957,2025-10-01 20:13:00,COMPLETED,1,40.80704826,-73.96069867,40.8024063,-73.9616521,2025-10-01 20:13:18,2025-10-01 20:14:32,2025-10-01 20:13:18,2025-10-01 20:14:32
R214958,2025-10-01 20:13:00,COMPLETED,1,40.79711472,-73.96441005,40.8060789,-73.9608508,2025-10-01 20:13:00,2025-10-01 20:15:34,2025-10-01 20:13:00,2025-10-01 20:15:41
R214949,2025-10-01 20:09:00,COMPLETED,1,40.80987117,-73.95846628,40.80480888,-73.96620277,2025-10-01 20:09:45,2025-10-01 20:15:38,2025-10-01 20:09:45,2025-10-01 20:15:48
R214951,2025-10-01 20:12:00,COMPLETED,1,40.8075355,-73.9625727,40.815726,-73.9587053,2025-10-01 20:13:15,2025-10-01 20:15:05,2025-10-01 20:13:15,2025-10-01 20:15:33
R214955,2025-10-01 20:12:00,COMPLETED,1,40.8075355,-73.9625727,40.8113379,-73.958247,2025-10-01 20:14:37,2025-10-01 20:16:09,2025-10-01 20:14:37,2025-10-01 20:16:09
